Image ID,Category ID
000022213.jpg,Bedroom
000020410.jpg,Bedroom
000022549.jpg,Bedroom
000044814.jpg,Bedroom
000003593.jpg,Bedroom
000031247.jpg,Bedroom
000023870.jpg,Bedroom
000002666.jpg,Bedroom
000040333.jpg,Bedroom
000029391.jpg,Bedroom
000004203.jpg,Bedroom
000012461.jpg,Bedroom
000043612.jpg,Bedroom
000021929.jpg,Bedroom
000033493.jpg,Bedroom
000012878.jpg,Bedroom
000030401.jpg,Bedroom
000010921.jpg,Bedroom
000007508.jpg,Bedroom
000001179.jpg,Bedroom
000029193.jpg,Bedroom
000025959.jpg,Bedroom
000004029.jpg,Bedroom
000022944.jpg,Bedroom
000030398.jpg,Bedroom
000024514.jpg,Bedroom
000044586.jpg,Bedroom
000039551.jpg,Bedroom
000003197.jpg,Bedroom
000003829.jpg,Bedroom
000025150.jpg,Bedroom
000026459.jpg,Bedroom
000033726.jpg,Bedroom
000000461.jpg,Bedroom
000010672.jpg,Bedroom
000038840.jpg,Bedroom
000019642.jpg,Bedroom
000023284.jpg,Bedroom
000040079.jpg,Bedroom
000037597.jpg,Bedroom
000020941.jpg,Bedroom
000023290.jpg,Bedroom
000024716.jpg,Bedroom
000013838.jpg,Bedroom
000032148.jpg,Bedroom
000030987.jpg,Bedroom
000030993.jpg,Bedroom
000010316.jpg,Bedroom
000030978.jpg,Bedroom
000021861.jpg,Bedroom
000039948.jpg,Bedroom
000024924.jpg,Bedroom
000005054.jpg,Bedroom
000037780.jpg,Bedroom
000027587.jpg,Bedroom
000032834.jpg,Bedroom
000008202.jpg,Bedroom
000029582.jpg,Bedroom
000030979.jpg,Bedroom
000042451.jpg,Bedroom
000021647.jpg,Bedroom
000004389.jpg,Bedroom
000021653.jpg,Bedroom
000034538.jpg,Bedroom
000011960.jpg,Bedroom
000023291.jpg,Bedroom
000020940.jpg,Bedroom
000019643.jpg,Bedroom
000043559.jpg,Bedroom
000038841.jpg,Bedroom
000023252.jpg,Bedroom
000033041.jpg,Bedroom
000003196.jpg,Bedroom
000033055.jpg,Bedroom
000026458.jpg,Bedroom
000035342.jpg,Bedroom
000025151.jpg,Bedroom
000039236.jpg,Bedroom
000030399.jpg,Bedroom
000012886.jpg,Bedroom
000022945.jpg,Bedroom
000031939.jpg,Bedroom
000000528.jpg,Bedroom
000005450.jpg,Bedroom
