"image","Class","Confidence.Score","chain","hotel_id"
"8000febe81817f7f.jpg","Bedroom",1,6,25389
"80053befc2d42fba.jpg","Bedroom",1,3,672
"800a4a6b6f6d2df6.jpg","Bedroom",1,0,12036
"800a7ffa85c57a3a.jpg","Bedroom",1,3,25583
"800bafacb4555b2f.jpg","Bedroom",0.99942243,82,6261
"800e7dd55ffa4056.jpg","Bedroom",1,2,60181
"8019eb8e1474ebcf.jpg","Bedroom",1,28,5168
"801aff45ebd0bcd0.jpg","Bedroom",1,78,26666
"801f7ce821c7dfd0.jpg","Bedroom",1,89,27809
"8020ee1f3f7781da.jpg","Bedroom",0.9996941,52,2498
"80286fe316ff68a5.jpg","Bedroom",0.99999404,0,13494
"8028cf47a37b369d.jpg","Bedroom",1,0,35733
"80296afd55d516ea.jpg","Bedroom",1,5,44677
"8029d51f7861779e.jpg","Bedroom",1,50,49164
"802a2be985975e5f.jpg","Bedroom",1,83,21874
"802a5f42fdf0ab95.jpg","Bedroom",1,89,43666
"802a75e51eda5c67.jpg","Bedroom",0.9999999,9,5388
"802a7af055d739e9.jpg","Bedroom",1,50,45049
"802aab95d62b7daa.jpg","Bedroom",1,6,33712
"802aef94c02bbfd5.jpg","Bedroom",1,6,62831
"802af4d04faf14df.jpg","Bedroom",1,0,3876
"802b5ed622fd3587.jpg","Bedroom",1,90,35252
"802b7e9095d5fe2a.jpg","Bedroom",1,5,21723
"802bd28ddce08fbd.jpg","Bedroom",1,6,25918
"802beb95d5aac0d7.jpg","Bedroom",1,78,50595
"802ddd0a3f70a9f5.jpg","Bedroom",0.9999994,87,18450
"802f65855fd85b87.jpg","Bedroom",1,5,34702
"802f6dd43eaa65d2.jpg","Bedroom",1,0,46081
"802f7fd0d42f2cca.jpg","Bedroom",0.99999976,6,32426
"802f7ff490819fc9.jpg","Bedroom",1,87,5697
"802fec405baf75d2.jpg","Bedroom",1,0,34553
"802ff1d28abd746a.jpg","Bedroom",1,0,500
"803570c58f9ba1f7.jpg","Bedroom",1,87,37779
"8035ee81817f7f68.jpg","Bedroom",1,3,22338
"80361761cd3d6f6a.jpg","Bedroom",1,0,35733
"803637a6aacbcb4b.jpg","Bedroom",1,0,10426
"803733bb5bc92c17.jpg","Bedroom",0.999998,8,53692
"8038e8d157bb2dd5.jpg","Bedroom",1,0,64678
"803a7f95384ebc63.jpg","Bedroom",1,89,1779
"803abbf5482e3b93.jpg","Bedroom",1,87,5210
"803aff8f12e0519f.jpg","Bedroom",0.99999976,68,63331
"803b5bf6a65459c9.jpg","Bedroom",1,89,8766
"803b5ed0d6037b3e.jpg","Bedroom",1,5,16791
"803be117a845fe9d.jpg","Bedroom",0.9999864,90,61942
"803c53933678ed97.jpg","Bedroom",0.99999964,8,58850
"803dce35ca659b47.jpg","Bedroom",0.9999584,2,43373
"803dfcd00b8f54de.jpg","Bedroom",1,0,56433
"803e49f1b398ecd3.jpg","Bedroom",1,6,37728
"803e68a5979a9d97.jpg","Bedroom",1,89,3919
"803e7b9595fa2a25.jpg","Bedroom",0.99999964,6,15263
"803e97593d9ec1e1.jpg","Bedroom",0.9999999,3,28721
"803eec8557fb2895.jpg","Bedroom",1,4,17623
"803ef0e73f60078f.jpg","Bedroom",1,2,63210
"803f2fb4d2aa3d16.jpg","Bedroom",1,6,53768
"803f408bbeb26eb5.jpg","Bedroom",0.9993575,6,11256
"803f50c5cc953b7b.jpg","Bedroom",1,73,46780
"803f56836ee50d5e.jpg","Bedroom",1,68,56874
"803f70955e2a6d75.jpg","Bedroom",1,89,54473
"803f73804ffe6187.jpg","Bedroom",1,55,7828
