image,chain_accuracy,id_accuracy,method,color_space
85748f3c63daa84e.jpg,0,0,euclidean,RGB
85748f3c63daa84e.jpg,0,0,euclidean,HSV
85748f3c63daa84e.jpg,1,0,euclidean,LAB
85748f3c63daa84e.jpg,0,0,cosine,RGB
85748f3c63daa84e.jpg,0,0,cosine,HSV
85748f3c63daa84e.jpg,1,0,cosine,LAB
85748f3c63daa84e.jpg,0,0,correlation,RGB
85748f3c63daa84e.jpg,0,0,correlation,HSV
85748f3c63daa84e.jpg,1,0,correlation,LAB
85748f3c63daa84e.jpg,0,0,chi2,RGB
85748f3c63daa84e.jpg,0,0,chi2,HSV
85748f3c63daa84e.jpg,0,0,chi2,LAB
85748f3c63daa84e.jpg,0,0,intersection,RGB
85748f3c63daa84e.jpg,1,0,intersection,HSV
85748f3c63daa84e.jpg,1,0,intersection,LAB
85748f3c63daa84e.jpg,1,0,bhattacharyya,RGB
85748f3c63daa84e.jpg,0,0,bhattacharyya,HSV
85748f3c63daa84e.jpg,1,0,bhattacharyya,LAB
8778b6c3cca9341e.jpg,0,0,euclidean,RGB
8778b6c3cca9341e.jpg,0,0,euclidean,HSV
8778b6c3cca9341e.jpg,2,1,euclidean,LAB
8778b6c3cca9341e.jpg,0,0,cosine,RGB
8778b6c3cca9341e.jpg,0,0,cosine,HSV
8778b6c3cca9341e.jpg,2,1,cosine,LAB
8778b6c3cca9341e.jpg,0,0,correlation,RGB
8778b6c3cca9341e.jpg,0,0,correlation,HSV
8778b6c3cca9341e.jpg,2,1,correlation,LAB
8778b6c3cca9341e.jpg,0,0,chi2,RGB
8778b6c3cca9341e.jpg,0,0,chi2,HSV
8778b6c3cca9341e.jpg,2,0,chi2,LAB
8778b6c3cca9341e.jpg,0,0,intersection,RGB
8778b6c3cca9341e.jpg,0,0,intersection,HSV
8778b6c3cca9341e.jpg,1,0,intersection,LAB
8778b6c3cca9341e.jpg,0,0,bhattacharyya,RGB
8778b6c3cca9341e.jpg,1,1,bhattacharyya,HSV
8778b6c3cca9341e.jpg,0,0,bhattacharyya,LAB
94d44b3b949cb786.jpg,1,0,euclidean,RGB
94d44b3b949cb786.jpg,0,0,euclidean,HSV
94d44b3b949cb786.jpg,0,0,euclidean,LAB
94d44b3b949cb786.jpg,1,0,cosine,RGB
94d44b3b949cb786.jpg,0,0,cosine,HSV
94d44b3b949cb786.jpg,0,0,cosine,LAB
94d44b3b949cb786.jpg,1,0,correlation,RGB
94d44b3b949cb786.jpg,0,0,correlation,HSV
94d44b3b949cb786.jpg,0,0,correlation,LAB
94d44b3b949cb786.jpg,0,0,chi2,RGB
94d44b3b949cb786.jpg,0,0,chi2,HSV
94d44b3b949cb786.jpg,0,0,chi2,LAB
94d44b3b949cb786.jpg,0,0,intersection,RGB
94d44b3b949cb786.jpg,0,0,intersection,HSV
94d44b3b949cb786.jpg,0,0,intersection,LAB
94d44b3b949cb786.jpg,0,0,bhattacharyya,RGB
94d44b3b949cb786.jpg,0,0,bhattacharyya,HSV
94d44b3b949cb786.jpg,0,0,bhattacharyya,LAB
94844bcbe9f1d499.jpg,0,0,euclidean,RGB
94844bcbe9f1d499.jpg,0,0,euclidean,HSV
94844bcbe9f1d499.jpg,0,0,euclidean,LAB
94844bcbe9f1d499.jpg,0,0,cosine,RGB
94844bcbe9f1d499.jpg,0,0,cosine,HSV
94844bcbe9f1d499.jpg,0,0,cosine,LAB
94844bcbe9f1d499.jpg,0,0,correlation,RGB
94844bcbe9f1d499.jpg,0,0,correlation,HSV
94844bcbe9f1d499.jpg,0,0,correlation,LAB
94844bcbe9f1d499.jpg,0,0,chi2,RGB
94844bcbe9f1d499.jpg,0,0,chi2,HSV
94844bcbe9f1d499.jpg,0,0,chi2,LAB
94844bcbe9f1d499.jpg,0,0,intersection,RGB
94844bcbe9f1d499.jpg,0,0,intersection,HSV
94844bcbe9f1d499.jpg,1,0,intersection,LAB
94844bcbe9f1d499.jpg,0,0,bhattacharyya,RGB
94844bcbe9f1d499.jpg,0,0,bhattacharyya,HSV
94844bcbe9f1d499.jpg,1,0,bhattacharyya,LAB
cb9bb4e43f62c841.jpg,0,0,euclidean,RGB
cb9bb4e43f62c841.jpg,2,0,euclidean,HSV
cb9bb4e43f62c841.jpg,1,0,euclidean,LAB
cb9bb4e43f62c841.jpg,0,0,cosine,RGB
cb9bb4e43f62c841.jpg,2,0,cosine,HSV
cb9bb4e43f62c841.jpg,1,0,cosine,LAB
cb9bb4e43f62c841.jpg,0,0,correlation,RGB
cb9bb4e43f62c841.jpg,2,0,correlation,HSV
cb9bb4e43f62c841.jpg,1,0,correlation,LAB
cb9bb4e43f62c841.jpg,1,0,chi2,RGB
cb9bb4e43f62c841.jpg,1,0,chi2,HSV
cb9bb4e43f62c841.jpg,0,0,chi2,LAB
cb9bb4e43f62c841.jpg,1,0,intersection,RGB
